epoch,box,cls,obj,Recall,Precision,mAP@50,F1,mAP
094,1.065,1.142,2.507,0.415,0.585,0.446,0.453,0.278
095,1.062,1.145,2.507,0.418,0.580,0.448,0.454,0.279
096,1.067,1.145,2.505,0.417,0.586,0.448,0.455,0.279
097,1.057,1.132,2.482,0.411,0.599,0.450,0.455,0.280
098,1.060,1.140,2.495,0.412,0.594,0.450,0.455,0.280
099,1.066,1.140,2.498,0.414,0.594,0.450,0.456,0.280
100,1.063,1.140,2.494,0.415,0.592,0.451,0.456,0.280
101,1.059,1.134,2.489,0.419,0.585,0.448,0.456,0.280
102,1.064,1.139,2.497,0.420,0.577,0.449,0.455,0.280
103,1.061,1.134,2.489,0.419,0.582,0.448,0.455,0.279
104,1.061,1.136,2.487,0.420,0.584,0.449,0.456,0.280
105,1.061,1.138,2.490,0.420,0.589,0.450,0.458,0.280
106,1.059,1.133,2.483,0.423,0.586,0.450,0.459,0.280
107,1.058,1.131,2.477,0.422,0.587,0.452,0.459,0.282
108,1.058,1.129,2.473,0.421,0.585,0.452,0.458,0.283
109,1.058,1.131,2.472,0.424,0.578,0.453,0.459,0.283
110,1.058,1.130,2.475,0.421,0.583,0.453,0.458,0.283
111,1.059,1.132,2.477,0.421,0.583,0.453,0.458,0.283
112,1.053,1.124,2.464,0.424,0.580,0.454,0.459,0.284
113,1.055,1.127,2.463,0.423,0.581,0.452,0.459,0.283
114,1.055,1.129,2.470,0.421,0.591,0.454,0.460,0.284
115,1.056,1.132,2.475,0.422,0.584,0.454,0.459,0.284
116,1.056,1.128,2.469,0.422,0.581,0.454,0.459,0.284
117,1.056,1.131,2.467,0.422,0.589,0.454,0.461,0.284
118,1.055,1.124,2.462,0.423,0.588,0.454,0.462,0.284
119,1.054,1.123,2.458,0.422,0.589,0.452,0.462,0.283
120,1.052,1.125,2.453,0.421,0.594,0.453,0.462,0.284
121,1.052,1.121,2.452,0.422,0.588,0.452,0.461,0.284
122,1.053,1.125,2.461,0.422,0.589,0.452,0.461,0.284
123,1.052,1.125,2.455,0.424,0.587,0.455,0.462,0.285
124,1.050,1.118,2.440,0.424,0.588,0.455,0.464,0.285
125,1.052,1.121,2.448,0.422,0.592,0.456,0.463,0.285
126,1.051,1.123,2.451,0.422,0.590,0.456,0.463,0.286
127,1.055,1.122,2.455,0.423,0.585,0.456,0.462,0.286
128,1.052,1.120,2.446,0.425,0.582,0.457,0.463,0.286
129,1.050,1.123,2.451,0.426,0.586,0.458,0.464,0.286
130,1.046,1.113,2.438,0.427,0.583,0.458,0.464,0.286
131,1.043,1.112,2.427,0.428,0.581,0.458,0.465,0.286
132,1.049,1.120,2.439,0.424,0.591,0.459,0.465,0.287
133,1.045,1.113,2.434,0.424,0.594,0.459,0.464,0.287
134,1.049,1.122,2.438,0.422,0.595,0.458,0.464,0.287
135,1.048,1.117,2.437,0.422,0.598,0.459,0.465,0.287
136,1.046,1.114,2.431,0.422,0.599,0.459,0.465,0.287
137,1.051,1.120,2.437,0.424,0.595,0.459,0.465,0.287
138,1.045,1.114,2.427,0.424,0.596,0.460,0.465,0.288
139,1.045,1.113,2.424,0.424,0.595,0.460,0.466,0.288
140,1.046,1.116,2.424,0.427,0.589,0.461,0.467,0.288
141,1.043,1.113,2.425,0.424,0.588,0.460,0.466,0.288
142,1.043,1.111,2.418,0.427,0.586,0.461,0.467,0.289
143,1.045,1.114,2.427,0.425,0.586,0.460,0.466,0.288
144,1.041,1.110,2.415,0.424,0.591,0.461,0.466,0.289
145,1.041,1.112,2.417,0.427,0.588,0.461,0.467,0.289
146,1.042,1.112,2.418,0.427,0.591,0.462,0.468,0.289
147,1.044,1.110,2.414,0.430,0.580,0.461,0.467,0.289
